SMILE,IP,EA,HomoLumoGap
C(=N)OC(=O)O,0.3846886,-0.07176753,-0.45645613
C(=O)(N)OOC(=O)N=O,0.356944461,0.030605465,-0.326338996
CN=C(N=N)N=N,0.330850617,0.019474789,-0.311375828
CC=NC(=O)N=O,0.326724153,0.020863889,-0.305860264
C(=O)(N=N)N=O,0.344567096,-0.036133885,-0.380700981
C=NOO,0.379453384,-0.086279084,-0.465732468
CC(=[O+][O-])OC,0.298544,-0.061080785,-0.359624785
C(#N)N(C#N)NC(=O)N,0.374429325,-0.031441616,-0.405870941
C(=O)C(=N)C=O,0.360466834,0.032605532,-0.327861302
[C-]#[N+]OCO[N+]#[C-],0.408716177,-0.073794531,-0.482510708
CC#COC#C,0.32389177,-0.129471931,-0.453363701
CC=CN=[N+]=[N-],0.312463515,-0.057733373,-0.370196888
C(=N)(N)OOO,0.361017276,-0.08110653,-0.442123806
C(C#CN=C=O)N=C=O,0.341386493,-0.05070962,-0.392096113
C(=NC(=O)OO)=O,0.402962493,-0.039633601,-0.442596094
C(C#N)C(O)(O)O,0.394091163,-0.106733509,-0.500824672
C(=O)(C(=O)OO)ON,0.377269045,-0.003246241,-0.380515286
C(=O)N(N)NN,0.337276811,-0.104074126,-0.441350937
C(=O)(N=[N+]=[N-])OC(=O)O,0.412298521,-0.001983656,-0.414282177
[C-]#[N+]N(C(=O)N)N=C=O,0.335095634,-0.043068329,-0.378163963
CC=C=C=NO,0.32026225,-0.025772426,-0.346034676
C=CC(=O)ON=C,0.367416296,-0.021388771,-0.388805067
C(#N)NNNC#N,0.373877855,-0.059569071,-0.433446926
C=CC(=C)OO,0.302143571,-0.06281202,-0.364955591
C(C(=O)O[N+](=O)[O-])O,0.391646716,-0.003313527,-0.394960243
C(O)ONO,0.364345506,-0.138309417,-0.502654923
C(O)(O)(O)ON,0.368931615,-0.133609039,-0.502540654
C=C=CC(=O)C#N,0.374996777,0.018581587,-0.35641519
CC(=O)COC#N,0.363732019,-0.047291827,-0.411023846
CC(=C=C=N)O,0.313588177,-0.039392708,-0.352980885
C(C=C=N)O,0.326634047,-0.083616758,-0.410250805
C(=O)(ON=O)O[N+](=O)[O-],0.413971193,0.050447936,-0.363523257
C(=NO)(C(=O)N=[N+]=[N-])N=[N+]=[N-],0.351107126,0.02196832,-0.329138806
C(=C=[N+]=[N-])N=O,0.33673209,0.059544029,-0.277188061
COC=[O+][O-],0.30903034,-0.051854134,-0.360884474
C(C#N)C#[N+][O-],0.375108948,-0.070410495,-0.445519443
C(#N)NC(=O)N(C#N)N,0.380351098,-0.043202899,-0.423553997
CC(=O)C=C=[N+]=[N-],0.326486291,0.029320736,-0.297165555
C(=O)N[N+](=[N-])NC=O,0.360643794,-0.021834916,-0.38247871
CC(=O)C=[O+][O-],0.356117835,0.039332454,-0.316785381
C(#N)NOC(=O)[N+](=O)[O-],0.405960061,0.041357055,-0.364603006
C(=C(C=O)N)C=O,0.32082846,0.007509435,-0.313319025
C=C[C+](C#N)C(=O)[O-],0.36708913,-0.020780003,-0.387869133
C(=O)C(C(=O)N)O,0.361536756,-0.039981266,-0.401518022
C(#N)NNN,0.361334629,-0.101864213,-0.463198842
C(#N)C(=N)C(=N)N,0.351053526,0.003750717,-0.347302809
C(=N)C(C#N)N,0.36821381,-0.063231469,-0.431445279
CC(=C)N=[N+]=[N-],0.319464968,-0.05908476,-0.378549728
CN(C(=O)N)[N+]#[C-],0.344143907,-0.100409651,-0.444553558
C=C(C(=O)N=C=O)O,0.342544168,-0.001211543,-0.343755711
C(=O)OON=O,0.401690772,0.00010922,-0.401581552
C(=O)(N)OC(=O)N=N,0.360737616,0.005493664,-0.355243952
CC(=O)C(=[N+]=[N-])O,0.307953619,-0.003652809,-0.311606428
C=CC(=O)ONO,0.363505802,-0.027391464,-0.390897266
C(#N)NOC#N,0.416818435,0.001156407,-0.415662028
COCOC#N,0.388400677,-0.122208139,-0.510608816
CON=C=N,0.335644744,-0.069210544,-0.404855288
[C-]#[N+]C#CC(=O)N,0.363027927,-0.005733686,-0.368761613
C(C(=O)O)OOO,0.370613717,-0.071730789,-0.442344506
C(NO)(O)(O)O,0.378975556,-0.131427651,-0.510403207
C(=C(C(=O)O)N=C=O)O,0.317577727,-0.026355881,-0.343933608
C(=O)(N)[N+](N)(O)[O-],0.344839823,-0.081035516,-0.425875339
C(C(=O)N=O)O,0.344595317,0.032942292,-0.311653025
C([C+](C=O)C(=O)[O-])O,0.376820192,-0.001948648,-0.37876884
C(=NO)N=[N+]=[N-],0.332454864,-0.043464541,-0.375919405
CC(N=C)O,0.348519681,-0.090505816,-0.439025497
C(C(O)ON=O)O,0.367775144,-0.02543214,-0.393207284
CC(=O)ONN=O,0.351333461,-0.033873041,-0.385206502
C(=O)NC(=O)N=[N+]=[N-],0.372622197,-0.01170388,-0.384326077
C#CC(=O)OC(=O)O,0.40067507,0.006791155,-0.393883915
C(=N)C(C(=O)O)O,0.361753192,-0.056377485,-0.418130677
C(O)OC(O)O,0.382167972,-0.148181752,-0.530349724
